id,物件名,ホストID,ホスト名,基礎自治体名,latitude,longitude,部屋タイプ,値段,最小宿泊数,レビュー数,最新レビュー日,一月あたりのレビュー数,ホストの保有物件数,貸し出している日数,リスティングのレビュー数（過去 12 か月間）,license
33841922,6min Akabane station/Free wifi/max 6 guests #302,253559407,Eri,北区,35.77328,139.71973,建物全体,12686,1,48,2023-12-24,0.76,28,78,3,M130015248
33842023,赤羽駅徒歩6分/最大4名滞在可能/Free wifi/リノベーション#303,253559407,Eri,北区,35.77498,139.71951,建物全体,12514,1,50,2024-04-22,0.80,28,82,4,M130015252
33953025,Ikebukuro&TokyoDome!Japanese Style!Max6PPL(MS45),256386091,Plays,北区,35.74635,139.73035,建物全体,,3,66,2024-05-19,1.05,2,0,21,M130015032
34096374,田端王子酒店 Twin Room,227093869,厳冬,北区,35.73989,139.76858,一般住宅個室,,1,0,,,1,270,0,Hotels and Inns Business Act | 東京都北区保健所 | 29北健生環き第10号
34611589,Central TOKYO/Cozy Room/Ikebukuro area/3LDK/WIFI,239049998,Haru,北区,35.74545,139.72662,建物全体,35000,3,13,2024-06-08,0.21,11,155,6,M130039193
34723941,"Uhome Tabata Apartment 201, 4mn by train to Ueno",73463626,Feng,北区,35.7333,139.75663,建物全体,,1,59,2020-11-29,0.95,42,41,0,M130016471
34727497,Uhome Tabata 401 Classic APT 4mn by train to Ueno,73463626,Feng,北区,35.73331,139.75817,建物全体,13537,1,65,2024-06-14,1.05,42,76,7,M130016476
35128490,JR山手线商圈交通便利/日式别墅四室一厅温馨舒适可住10人！,71920606,Heyao,北区,35.73422,139.75769,建物全体,34934,1,102,2024-06-24,1.66,16,90,39,Hotels and Inns Business Act | 東京都北区保健所 | ５北健生環き第３３号
35211086,【MONTHLY】 JAPANESE STYLE HOME FOR 6! IKEBUKURO!,256386091,Plays,北区,35.74401,139.72517,建物全体,25700,30,11,2023-12-21,0.19,2,270,4,M130015032
35237681,JR駒込駅5分／六義園近く！3人部屋（11㎡/二段ベッド1台、シングルベッド1台/無料Wi-Fi）,264661114,Yuka,北区,35.73655319213867,139.75205993652344,建物全体,29571,1,166,2024-06-23,2.71,2,177,69,Hotels and Inns Business Act | 東京都北区保健所 | 5北健生環き第53号
36078972,銭湯テルメ末広のアパート、昭和雰囲気を銭湯を満喫、池袋まで25分#Room206/A007,227883207,Katsumi,北区,35.78343,139.7311,建物全体,7907,1,43,2024-06-07,0.72,2,172,23,M130017780
36229804,"AloBnB 6 - Self checkin - Near Komagome, Ikebukuro",208210870,Alo,北区,35.73956,139.74844,建物全体,17743,2,14,2024-06-24,0.26,6,104,5,M130018038
36243283,KAKAハウス 1階 東京下町で閑静な住宅街にありくつろげる空間,209587496,Hatsuko,北区,35.74427,139.73235,一般住宅個室,15857,3,32,2024-04-17,0.54,2,145,17,M130005716
36259211,KIKIハウス 2階 東京下町で閑静な住宅街にありくつろげる空間,209587496,Hatsuko,北区,35.74431,139.73315,一般住宅個室,12857,3,9,2024-05-26,0.16,2,91,7,M130005719
36819787,"尹府C栋-东京赤羽站新改建一户建二室一厅,赤羽站步行12分钟,东十条站步行5分钟，移动Wi-Fi。",251211613,青山,北区,35.76747,139.72422,建物全体,,2,2,2019-11-17,0.03,1,0,0,M130034677
37607411,Airport pickup arrange/WiFi/N-house/NHAB,129096261,Chisaki,北区,35.786381,139.719193,建物全体,22981,2,90,2024-05-20,1.55,52,329,14,M130019392
37625398,2mins to Komagome/Easy to Shinjuku&Tokyo Sta by JR,70438155,MingJuan,北区,35.73727,139.75073,建物全体,34129,2,29,2024-06-28,0.50,5,136,16,M130019167
37663536,アットホームに東京滞在。池袋、新宿、渋谷へのアクセスに最適。一階の貸しスタジオも利用可。,333477516,Haruko,北区,35.74224,139.72537,一般住宅個室,6000,1,49,2024-06-20,0.92,1,4,35,M130023080
37756818,Month 6min Akabane stiation/max 6 guests #203,253559407,Eri,北区,35.77276,139.71958,建物全体,11000,30,4,2024-04-23,0.07,28,178,2,M130015245
